X1_1,resid,hhid,mail,vote2006,vote2008,vote2010,vote2011,vote2012,vote2014,d_age,age_miss,d_gend_female,d_gend_unknown,d_race_blk,d_race_hsp,d_race_oth,d_days,days_miss,sdef,never_voted,open,vote_year
45,45,7524,1,0,0,0,0,0,0,40.967773,1,1,0,0,1,0,104,0,0,1,0,0
48,48,5228,1,0,0,0,0,1,0,55,0,1,0,1,0,0,1128,0,0,0,1,2012
49,49,6978,1,0,0,0,0,0,0,40.967773,1,0,0,0,0,0,1286,0,1,1,0,0
53,53,5779,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,-349,0,0,1,0,0
56,56,15513,1,0,0,0,0,0,0,26,0,0,0,0,0,0,2218,0,0,1,0,0
58,58,6369,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1223,0,1,1,1,0
60,60,14981,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1659,0,1,1,1,0
61,61,11806,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1540,0,1,1,1,0
64,64,11530,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,2463,0,0,1,0,0
72,72,812,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1310,0,1,1,0,0
76,76,7056,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1124,0,1,1,1,0
82,82,4097,1,0,0,0,0,0,0,40.967773,1,0,0,0,0,0,1614,0,1,1,0,0
85,85,4422,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,917,0,1,1,1,0
90,90,9705,1,0,0,0,0,0,0,40.967773,1,0,0,0,0,0,1736,0,1,1,0,0
91,91,10451,1,0,0,0,0,0,0,24,0,1,0,1,0,0,782,0,1,1,0,0
102,102,1897,1,0,0,0,0,0,0,40.967773,1,0,1,0,0,0,1328,0,1,1,1,0
105,105,11421,1,0,0,0,0,0,0,42,0,1,0,1,0,0,1160,0,1,1,1,0
113,113,3726,1,0,0,0,0,0,0,36,0,1,0,1,0,0,2461,0,0,1,0,0
116,116,16130,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1821,0,1,1,0,0
118,118,154,1,0,0,0,0,0,0,40.967773,1,1,0,1,0,0,1415,0,1,1,0,0
119,119,6112,1,0,0,0,0,0,0,33,0,1,0,0,0,0,1750,0,1,1,0,0
121,121,12590,1,0,0,0,0,0,0,40.967773,1,0,1,0,0,1,1474.3691,1,0,1,0,0
123,123,8857,1,0,0,0,0,0,0,28,0,0,1,0,1,0,1681,0,1,1,0,0
124,124,678,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1232,0,1,1,0,0
140,140,2640,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,2461,0,0,1,0,0
148,148,15406,1,0,0,0,0,0,0,40.967773,1,0,0,0,0,0,1908,0,1,1,1,0
149,149,9505,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,2048,0,1,1,0,0
156,156,214,1,0,0,0,0,0,0,25,0,0,0,0,0,0,2022,0,1,1,0,0
159,159,10396,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1264,0,1,1,1,0
164,164,2376,1,0,0,0,0,0,0,25,0,1,0,1,0,0,1763,0,1,1,0,0
166,166,765,1,0,0,0,0,0,0,66,0,0,0,1,0,0,2222,0,0,1,0,0
167,167,6568,1,0,0,0,0,0,0,64,0,1,0,1,0,0,2020,0,1,1,1,0
173,173,13755,1,0,0,0,0,0,0,23,0,1,0,1,0,0,1124,0,1,1,1,0
176,176,10878,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,517,0,0,1,1,0
177,177,9541,1,0,0,0,0,0,0,40.967773,1,0,1,1,0,0,2485,0,0,1,0,0
180,180,9656,1,0,1,0,0,1,0,52,0,0,1,1,0,0,778,0,0,0,0,2012
182,182,4968,1,0,0,0,0,0,0,40.967773,1,1,0,0,0,0,1369,0,1,1,0,0
184,184,6960,1,0,0,0,0,0,0,40.967773,1,0,0,1,0,0,1705,0,1,1,0,0
